                leaf          error rate             true nn           subdomain
                0.01                   0              0.0965             781.252
               0.013                   0              0.0965             781.252
               0.015                   0              0.0965             781.252
                0.02                   0              0.1387              1562.5
                0.03                   0              0.1387              1562.5
                0.05                   0              0.1932                3125
                0.08                   0              0.2712                6250
                 0.1                   0              0.2712                6250
                0.13                   0              0.3843               12500
                0.15                   0              0.3843               12500
